

words_alpha mat1 temp1 chs0:
<lizing>  [<|li|z|ing|>]
<tractoioucounter>  [<|tract|oi|ou|counter|>]
<iag>  [<|i|ag|>]
<un>  [<|un|>]
<ag>  [<|ag|>]
<ol>  [<|ol|>]
<meterous>  [<|meter|ous|>]
<ntiseblel>  [<|nti|se|ble|l|>]
<verteo>  [<|vert|eo|>]
<macroradi>  [<|macro|ra|di|>]
<>  [<|>]
<ncers>  [<|nce|rs|>]
<cuphintra>  [<|cu|ph|intra|>]
<rat>  [<|rat|>]
<passatioag>  [<|pass|atio|ag|>]
<eagrad>  [<|ea|grad|>]
<em>  [<|em|>]
<credv>  [<|cred|v|>]

words_alpha mat1 temp5 chs0:
<enbium>  [<|en|bi|um|>]
<splanaptoco>  [<|sp|la|na|p|to|co|>]
<pressorchist>  [<|pre|ss|or|ch|ist|>]
<shatorigly>  [<|sh|a|to|ri|gl|y|>]
<smoninterscable>  [<|s|m|on|inter|sc|ab|le|>]
<schinating>  [<|sc|hi|na|tin|g|>]
<paterbapfied>  [<|pa|ter|ba|p|fi|ed|>]
<un>  [<|un|>]
<hole>  [<|ho|le|>]
<geros>  [<|g|er|os|>]
<heingrament>  [<|he|in|g|ra|me|nt|>]
<existrowition>  [<|ex|ist|ro|w|it|ion|>]
<sated>  [<|sa|te|d|>]
<andosoment>  [<|an|do|so|men|t|>]
<bauraversiveness>  [<|ba|u|ra|vers|ive|ness|>]
<boand>  [<|bo|an|d|>]
<interpreinodecty>  [<|inter|pre|in|od|ec|t|y|>]
<kericheter>  [<|ke|ri|c|he|ter|>]
<retiondican>  [<|re|ti|on|di|ca|n|>]
<taterer>  [<|ta|ter|er|>]
<bul>  [<|b|ul|>]
<gram>  [<|gr|am|>]
<lingions>  [<|lin|g|io|ns|>]
<acations>  [<|ac|ation|s|>]
<nonemian>  [<|non|em|ian|>]

words_alpha mat1 temp5 chs10:
<xatiomortrc>  [<|x|atio|mort|rc|>]
<ur>  [<|ur|>]
<iagebene>  [<|ia|ge|bene|>]
<picomon>  [<|pi|com|on|>]
<he>  [<|he|>]
<gressfoaut>  [<|gress|fo|aut|>]
<thermrccometflec>  [<|therm|rc|com|et|flec|>]
<tiondis>  [<|tion|dis|>]
<postpl>  [<|post|pl|>]
<ablbene>  [<|abl|bene|>]
<tutractc>  [<|tu|tra|ct|c|>]
<pressate>  [<|press|ate|>]
<liaut>  [<|li|aut|>]
<ngbon>  [<|ng|bo|n|>]
<daallbe>  [<|da|all|be|>]
<lyestuai>  [<|ly|est|u|ai|>]
<cuiztri>  [<|cu|iz|tri|>]
<junctcrdeov>  [<|junct|cr|de|ov|>]
<ncig>  [<|nc|ig|>]
<oi>  [<|oi|>]
<shpsych>  [<|sh|psych|>]
<hyneuni>  [<|hy|ne|uni|>]
<crpass>  [<|cr|pass|>]
<contituver>  [<|con|ti|tu|ver|>]
<id>  [<|id|>]

words_alpha mat1 temp5 chs50:
<atiae>  [<|ati|ae|>]
<hababrntform>  [<|ha|ba|br|nt|form|>]
<itndantiive>  [<|it|nd|anti|ive|>]
<scope>  [<|scope|>]
<credcu>  [<|cred|cu|>]
<dicpolyhoac>  [<|dic|poly|ho|ac|>]
<ad>  [<|ad|>]
<psych>  [<|psych|>]
<ible>  [<|ible|>]
<contra>  [<|contra|>]
<el>  [<|el|>]
<thia>  [<|th|ia|>]
<tsea>  [<|ts|ea|>]
<lahy>  [<|la|hy|>]
<bomit>  [<|bo|mit|>]
<glelspire>  [<|gl|el|spire|>]
<sti>  [<|sti|>]
<captspecshneos>  [<|capt|spec|sh|ne|os|>]
<fma>  [<|f|ma|>]
<thco>  [<|th|co|>]
<ablenict>  [<|able|ni|ct|>]
<ta>  [<|ta|>]
<pology>  [<|po|logy|>]
<ze>  [<|ze|>]
<blcred>  [<|bl|cred|>]

words_alpha mat2 temp1 chs0:
<<shellinching>>  [<|<|sh|el|lin|ch|ing|>|>]
<<nondecompouncehood>>  [<|<|non|de|com|po|un|ce|hood|>|>]
<<fillable>>  [<|<|fi|ll|able|>|>]
<<like>>  [<|<|li|ke|>|>]
<<adepters>>  [<|<|ad|ep|ter|s|>|>]
<<dyknow>>  [<|<|d|y|k|no|w|>|>]
<<rings>>  [<|<|ri|ng|s|>|>]
<<decoked>>  [<|<|de|co|ke|d|>|>]
<<bill>>  [<|<|bi|ll|>|>]
<<comamie>>  [<|<|com|am|ie|>|>]
<<eying>>  [<|<|e|y|ing|>|>]
<<kas>>  [<|<|k|as|>|>]
<<unhumij>>  [<|<|un|h|um|i|j|>|>]
<<nonacquirem>>  [<|<|non|ac|qu|ir|em|>|>]
<<primi>>  [<|<|pr|im|i|>|>]
<<unstipulmonial>>  [<|<|un|sti|p|ul|mo|ni|al|>|>]
<<lounce>>  [<|<|lo|un|ce|>|>]
<<unration>>  [<|<|un|rat|ion|>|>]
<<median>>  [<|<|me|dia|n|>|>]
<<preprimmestful>>  [<|<|pre|pr|im|me|st|ful|>|>]
<<unely>>  [<|<|un|el|y|>|>]
<<lenylving>>  [<|<|le|n|y|l|vi|ng|>|>]
<<gursle>>  [<|<|g|ur|s|le|>|>]
<<tonged>>  [<|<|to|ng|ed|>|>]
<<unmodification>>  [<|<|un|mo|di|fi|ca|tion|>|>]

words_alpha mat2 temp1 chs10:
<<com>>  [<|<|com|>|>]
<<eart>>  [<|<|ea|rt|>|>]
<<su>>  [<|<|su|>|>]
<<stiovparat>>  [<|<|sti|ov|pa|rat|>|>]
<<mum>>  [<|<|m|um|>|>]
<<canonuni>>  [<|<|ca|non|uni|>|>]
<<diant>>  [<|<|di|ant|>|>]
<<respi>>  [<|<|res|pi|>|>]
<<alphonse>>  [<|<|al|phon|se|>|>]
<<dinethicalpreogceptestdamo>>  [<|<|d|ine|th|ical|pre|og|cept|est|da|mo|>|>]
<<ar>>  [<|<|ar|>|>]
<<nonscopepanemy>>  [<|<|non|scope|pan|em|y|>|>]
<<kurethermrevi>>  [<|<|k|ure|therm|re|vi|>|>]
<<inter>>  [<|<|inter|>|>]
<<incredulz>>  [<|<|in|cred|ul|z|>|>]
<<nonceptmeizescopencatioionhood>>  [<|<|non|cept|me|ize|scope|nc|atio|ion|hood|>|>]
<<de>>  [<|<|de|>|>]
<<mis>>  [<|<|mis|>|>]
<<vot>>  [<|<|v|ot|>|>]
<<ycomicace>>  [<|<|y|com|ica|ce|>|>]
<<vdicbrmicrodact>>  [<|<|v|dic|br|micro|da|ct|>|>]
<<sapsychiptuce>>  [<|<|sa|psych|ip|tu|ce|>|>]
<<osivetracttindol>>  [<|<|os|ive|tract|tin|do|l|>|>]
<<codicil>>  [<|<|co|dic|il|>|>]
<<homzespireeotbur>>  [<|<|hom|ze|spire|e|ot|b|ur|>|>]

words_alpha mat2 temp1 chs50:
<<paatituso>>  [<|<|pa|ati|tu|so|>|>]
<<loprema>>  [<|<|lo|pre|ma|>|>]
<<vgltrom>>  [<|<|v|gl|tr|om|>|>]
<<ginterjunction>>  [<|<|g|inter|junct|ion|>|>]
<<tapressumismstruversine>>  [<|<|ta|press|um|ism|stru|vers|ine|>|>]
<<eloroi>>  [<|<|el|or|oi|>|>]
<<piarite>>  [<|<|pi|ar|it|e|>|>]
<<bltransingcegine>>  [<|<|bl|trans|ing|ce|gi|ne|>|>]
<<thdists>>  [<|<|th|dis|ts|>|>]
<<brivecomulant>>  [<|<|br|ive|com|ul|ant|>|>]
<<e>>  [<|<|e|>|>]
<<stieportkse>>  [<|<|st|ie|port|k|se|>|>]
<<aggirtf>>  [<|<|ag|gi|rt|f|>|>]
<<lety>>  [<|<|le|ty|>|>]
<<lelogyodless>>  [<|<|le|logy|od|less|>|>]
<<gi>>  [<|<|gi|>|>]
<<domat>>  [<|<|do|ma|t|>|>]
<<qu>>  [<|<|qu|>|>]
<<meicatudo>>  [<|<|me|ica|tu|do|>|>]
<<uncbroo>>  [<|<|un|c|br|oo|>|>]
<<noner>>  [<|<|non|er|>|>]
<<wblo>>  [<|<|w|bl|o|>|>]
<<antimacroianliness>>  [<|<|anti|macro|ian|lin|ess|>|>]
<<ar>>  [<|<|ar|>|>]
<<suacproritu>>  [<|<|su|ac|pro|ri|tu|>|>]

words_alpha mat2 temp2 chs0:
<<pod>>  [<|<|po|d|>|>]
<<pigly>>  [<|<|pi|gl|y|>|>]
<<hagymbode>>  [<|<|ha|g|y|m|bo|de|>|>]
<<syns>>  [<|<|s|y|ns|>|>]
<<decuples>>  [<|<|de|cu|pl|es|>|>]
<<saos>>  [<|<|sa|os|>|>]
<<under>>  [<|<|un|de|r|>|>]
<<assate>>  [<|<|as|sa|te|>|>]
<<parase>>  [<|<|pa|ra|se|>|>]
<<autoasted>>  [<|<|aut|o|as|ted|>|>]
<<deprivitous>>  [<|<|de|pr|iv|it|ous|>|>]
<<unwitchy>>  [<|<|un|w|it|ch|y|>|>]
<<hoguntercure>>  [<|<|ho|g|un|ter|cu|re|>|>]
<<blabbery>>  [<|<|bl|ab|be|ry|>|>]
<<trichurcharted>>  [<|<|tri|ch|ur|ch|ar|ted|>|>]
<<mility>>  [<|<|mi|li|ty|>|>]
<<unpapalization>>  [<|<|un|pa|pa|li|z|ation|>|>]
<<theologist>>  [<|<|th|eo|lo|gi|st|>|>]
<<unhygias>>  [<|<|un|hy|gi|as|>|>]
<<antifegor>>  [<|<|anti|f|e|g|or|>|>]
<<kadar>>  [<|<|k|ad|ar|>|>]
<<cten>>  [<|<|ct|en|>|>]
<<neurectomy>>  [<|<|ne|ure|ct|om|y|>|>]
<<blueviative>>  [<|<|bl|u|e|vi|ati|ve|>|>]
<<fave>>  [<|<|f|a|ve|>|>]

words_alpha mat2 temp2 chs10:
<<wglovae>>  [<|<|w|gl|ov|ae|>|>]
<<coloceptesbeian>>  [<|<|co|lo|cept|es|be|ian|>|>]
<<se>>  [<|<|se|>|>]
<<nondagaff>>  [<|<|non|da|ga|f|f|>|>]
<<adxmeter>>  [<|<|ad|x|meter|>|>]
<<pdpan>>  [<|<|p|d|pan|>|>]
<<brresishome>>  [<|<|br|res|ish|om|e|>|>]
<<momal>>  [<|<|mo|mal|>|>]
<<amphfiogatan>>  [<|<|am|ph|fi|og|at|an|>|>]
<<ciautlapathal>>  [<|<|ci|aut|la|path|al|>|>]
<<imsnisub>>  [<|<|im|s|ni|sub|>|>]
<<bleir>>  [<|<|b|le|ir|>|>]
<<so>>  [<|<|so|>|>]
<<pan>>  [<|<|pan|>|>]
<<trtractizepathjunctscriptversophi>>  [<|<|tr|tract|ize|path|junct|script|vers|op|hi|>|>]
<<preateilti>>  [<|<|pre|ate|il|ti|>|>]
<<stionckscopeta>>  [<|<|st|ion|ck|scope|ta|>|>]
<<unkep>>  [<|<|un|k|ep|>|>]
<<intsiol>>  [<|<|in|ts|io|l|>|>]
<<caonitic>>  [<|<|ca|oni|tic|>|>]
<<neintraharupttiontoss>>  [<|<|ne|intra|ha|rupt|tion|to|ss|>|>]
<<at>>  [<|<|at|>|>]
<<ciferin>>  [<|<|c|if|eri|n|>|>]
<<commetronida>>  [<|<|com|metr|oni|da|>|>]
<<junctures>>  [<|<|junct|ure|s|>|>]

words_alpha mat2 temp2 chs50:
<<unesumfaquage>>  [<|<|un|es|um|f|aqua|ge|>|>]
<<scortri>>  [<|<|sc|or|tri|>|>]
<<disonrupture>>  [<|<|dis|on|rupt|ure|>|>]
<<tic>>  [<|<|tic|>|>]
<<spblelyot>>  [<|<|sp|ble|ly|ot|>|>]
<<phmultiityipspeconndprecon>>  [<|<|ph|multi|ity|ip|spec|on|nd|pre|con|>|>]
<<eperiga>>  [<|<|ep|eri|ga|>|>]
<<po>>  [<|<|po|>|>]
<<poly>>  [<|<|poly|>|>]
<<premomass>>  [<|<|pre|mo|ma|ss|>|>]
<<sutractphepho>>  [<|<|su|tract|ph|ep|ho|>|>]
<<subbure>>  [<|<|sub|b|ure|>|>]
<<ure>>  [<|<|ure|>|>]
<<panndum>>  [<|<|pan|nd|um|>|>]
<<toonif>>  [<|<|to|oni|f|>|>]
<<undisubsti>>  [<|<|un|di|sub|sti|>|>]
<<bashtraadscript>>  [<|<|ba|sh|tra|ad|script|>|>]
<<seri>>  [<|<|s|eri|>|>]
<<funiiveblcrio>>  [<|<|f|uni|ive|bl|cr|io|>|>]
<<aggradncecontrahych>>  [<|<|ag|grad|nce|contra|hy|ch|>|>]
<<luier>>  [<|<|lu|ie|r|>|>]
<<grlaicadi>>  [<|<|gr|la|ica|di|>|>]
<<eport>>  [<|<|e|port|>|>]
<<coionecst>>  [<|<|co|ion|ec|st|>|>]
<<prenteoosety>>  [<|<|pre|nte|oo|se|ty|>|>]

words_alpha mat2 temp5 chs0:
<<annufacture>>  [<|<|an|n|u|fac|tu|re|>|>]
<<sphereagitis>>  [<|<|sp|he|re|ag|it|is|>|>]
<<borrhea>>  [<|<|bo|rr|he|a|>|>]
<<imbolt>>  [<|<|im|bo|l|t|>|>]
<<vowies>>  [<|<|v|o|w|ies|>|>]
<<unresponsum>>  [<|<|un|res|po|ns|um|>|>]
<<reprimature>>  [<|<|re|pr|im|at|ure|>|>]
<<foliantly>>  [<|<|fo|li|ant|ly|>|>]
<<creosolvate>>  [<|<|cr|eo|so|l|v|ate|>|>]
<<line>>  [<|<|lin|e|>|>]
<<unweir>>  [<|<|un|w|e|ir|>|>]
<<intercross>>  [<|<|inter|cr|os|s|>|>]
<<phonating>>  [<|<|phon|ati|ng|>|>]
<<explodont>>  [<|<|ex|pl|od|on|t|>|>]
<<parlaid>>  [<|<|pa|r|la|id|>|>]
<<undisillumifama>>  [<|<|un|dis|il|lu|mi|f|am|a|>|>]
<<monochased>>  [<|<|mono|ch|as|ed|>|>]
<<superadiposom>>  [<|<|su|per|ad|ip|os|om|>|>]
<<conceite>>  [<|<|con|ce|it|e|>|>]
<<balladed>>  [<|<|ba|ll|ad|ed|>|>]
<<story>>  [<|<|st|or|y|>|>]
<<decemloid>>  [<|<|de|ce|m|lo|id|>|>]
<<everes>>  [<|<|e|ver|es|>|>]
<<ethumanist>>  [<|<|et|h|um|an|ist|>|>]
<<harmination>>  [<|<|ha|rm|in|ation|>|>]

words_alpha mat2 temp5 chs10:
<<dapicocide>>  [<|<|da|pi|co|cide|>|>]
<<inrig>>  [<|<|in|ri|g|>|>]
<<enthoto>>  [<|<|ent|ho|to|>|>]
<<calation>>  [<|<|cal|ation|>|>]
<<me>>  [<|<|me|>|>]
<<unmpconchrontrflexolog>>  [<|<|un|mp|con|chron|tr|flex|ol|og|>|>]
<<adoingtiouregan>>  [<|<|ad|oi|ng|tio|ure|ga|n|>|>]
<<un>>  [<|<|un|>|>]
<<atianpeltoid>>  [<|<|at|ian|pel|to|id|>|>]
<<phngly>>  [<|<|ph|ng|ly|>|>]
<<egrad>>  [<|<|e|grad|>|>]
<<ien>>  [<|<|i|en|>|>]
<<emnessndquar>>  [<|<|em|ness|nd|qu|ar|>|>]
<<boiota>>  [<|<|bo|io|ta|>|>]
<<poleestas>>  [<|<|po|le|est|as|>|>]
<<fiecfv>>  [<|<|fi|ec|f|v|>|>]
<<plie>>  [<|<|pl|ie|>|>]
<<baci>>  [<|<|ba|ci|>|>]
<<ha>>  [<|<|ha|>|>]
<<susq>>  [<|<|su|s|q|>|>]
<<ir>>  [<|<|ir|>|>]
<<deceptmetrhomstif>>  [<|<|de|cept|metr|hom|sti|f|>|>]
<<unlogyingst>>  [<|<|un|logy|ing|st|>|>]
<<un>>  [<|<|un|>|>]
<<zscribbiqum>>  [<|<|z|scrib|bi|q|um|>|>]

words_alpha mat2 temp5 chs50:
<<mo>>  [<|<|mo|>|>]
<<dooval>>  [<|<|do|ov|al|>|>]
<<homitykeamo>>  [<|<|hom|ity|ke|am|o|>|>]
<<fler>>  [<|<|f|le|r|>|>]
<<aburetinroun>>  [<|<|ab|ure|tin|ro|un|>|>]
<<cheishma>>  [<|<|ch|e|ish|ma|>|>]
<<stiagrrnohori>>  [<|<|sti|ag|rr|no|ho|ri|>|>]
<<res>>  [<|<|res|>|>]
<<benesagertali>>  [<|<|be|nes|age|rt|ali|>|>]
<<entness>>  [<|<|ent|ness|>|>]
<<po>>  [<|<|po|>|>]
<<ap>>  [<|<|ap|>|>]
<<saantbrian>>  [<|<|sa|ant|br|ian|>|>]
<<ovscopeabphonins>>  [<|<|ov|scope|ab|phon|in|s|>|>]
<<or>>  [<|<|or|>|>]
<<unhydringoum>>  [<|<|un|hydr|ing|ou|m|>|>]
<<il>>  [<|<|il|>|>]
<<sa>>  [<|<|sa|>|>]
<<rotrdiant>>  [<|<|ro|tr|dia|nt|>|>]
<<acvimishaaggintill>>  [<|<|ac|vi|mis|ha|ag|gi|nti|ll|>|>]
<<ex>>  [<|<|ex|>|>]
<<fjunctciqcidethsm>>  [<|<|f|junct|ci|q|cide|th|sm|>|>]
<<ta>>  [<|<|ta|>|>]
<<wpath>>  [<|<|w|path|>|>]
<<age>>  [<|<|age|>|>]

mit mat1 temp1 chs0:
<forsuremor>  [<|f|or|s|ur|em|or|>]
<wished>  [<|w|ish|ed|>]
<trans>  [<|tra|ns|>]
<unionssel>  [<|un|ion|s|se|l|>]
<cratle>  [<|cr|at|le|>]
<interpresenetab>  [<|inter|pre|se|n|et|ab|>]
<consequppop>  [<|co|ns|e|q|u|p|po|p|>]
<sucompertne>  [<|su|c|om|pe|rt|ne|>]
<verang>  [<|ve|ra|ng|>]
<ster>  [<|st|er|>]
<spel>  [<|sp|el|>]
<holenne>  [<|ho|l|en|ne|>]
<form>  [<|form|>]
<torted>  [<|t|or|ted|>]
<gard>  [<|ga|rd|>]
<chains>  [<|ch|ai|ns|>]
<spaprove>  [<|sp|a|p|ro|ve|>]
<soursigured>  [<|so|ur|s|ig|ure|d|>]
<miss>  [<|mi|ss|>]
<cretterriate>  [<|cr|et|ter|ri|ate|>]
<letease>  [<|l|e|t|e|as|e|>]
<elter>  [<|el|ter|>]
<actured>  [<|ac|tu|re|d|>]
<wareneutt>  [<|wa|re|ne|ut|t|>]
<al>  [<|al|>]

mit mat1 temp1 chs10:
<shfohood>  [<|sh|fo|hood|>]
<tra>  [<|tra|>]
<isful>  [<|is|ful|>]
<rtism>  [<|rt|ism|>]
<ion>  [<|ion|>]
<versotwcom>  [<|vers|ot|w|com|>]
<rdviulrs>  [<|rd|vi|ul|rs|>]
<terno>  [<|ter|no|>]
<resons>  [<|res|ons|>]
<faciecept>  [<|fac|ie|cept|>]
<thocla>  [<|th|oc|la|>]
<eape>  [<|ea|pe|>]
<uni>  [<|uni|>]
<meter>  [<|meter|>]
<kealurcotor>  [<|ke|al|ur|co|tor|>]
<thinterni>  [<|th|inter|ni|>]
<spectsformma>  [<|spec|ts|form|ma|>]
<cole>  [<|col|e|>]
<pathy>  [<|path|y|>]
<terri>  [<|ter|ri|>]
<sa>  [<|sa|>]
<paths>  [<|path|s|>]
<hiwaatiea>  [<|hi|wa|ati|ea|>]
<vemento>  [<|ve|men|to|>]
<ons>  [<|ons|>]

mit mat1 temp1 chs50:
<cuscunint>  [<|c|u|sc|uni|nt|>]
<igphon>  [<|ig|phon|>]
<stmicrout>  [<|st|micro|ut|>]
<tsir>  [<|ts|ir|>]
<ful>  [<|ful|>]
<hydro>  [<|hydr|o|>]
<pulse>  [<|puls|e|>]
<op>  [<|op|>]
<trise>  [<|tr|ise|>]
<trieaot>  [<|tri|ea|ot|>]
<us>  [<|us|>]
<comam>  [<|com|am|>]
<tionthermorant>  [<|tion|therm|or|ant|>]
<bene>  [<|bene|>]
<raoc>  [<|ra|oc|>]
<isemicromacro>  [<|ise|micro|macro|>]
<igle>  [<|ig|le|>]
<ca>  [<|ca|>]
<picen>  [<|pi|ce|n|>]
<ian>  [<|ian|>]
<flec>  [<|flec|>]
<tid>  [<|ti|d|>]
<be>  [<|be|>]
<scriptomerity>  [<|script|om|er|ity|>]
<pressibleagehapel>  [<|press|ible|age|ha|pel|>]

mit mat1 temp2 chs0:
<pand>  [<|pa|nd|>]
<dese>  [<|d|es|e|>]
<holengs>  [<|ho|le|ng|s|>]
<sexce>  [<|se|x|ce|>]
<cropent>  [<|cr|op|en|t|>]
<fishicator>  [<|fi|sh|i|ca|tor|>]
<cle>  [<|cl|e|>]
<elears>  [<|el|ea|rs|>]
<wsam>  [<|w|s|am|>]
<elig>  [<|el|ig|>]
<ingentingepare>  [<|in|g|en|tin|g|e|pa|re|>]
<serected>  [<|se|r|ect|ed|>]
<rtssolect>  [<|rt|s|so|l|ect|>]
<prostigharge>  [<|p|ro|st|ig|h|ar|ge|>]
<surtitap>  [<|su|r|ti|t|ap|>]
<wate>  [<|w|ate|>]
<tationson>  [<|ta|tion|s|on|>]
<grant>  [<|gr|ant|>]
<erscomp>  [<|er|s|co|mp|>]
<pure>  [<|p|ur|e|>]
<chan>  [<|ch|an|>]
<calea>  [<|ca|l|ea|>]
<ce>  [<|ce|>]
<adval>  [<|ad|v|al|>]
<ans>  [<|an|s|>]

mit mat1 temp2 chs10:
<ous>  [<|ous|>]
<iacararyist>  [<|ia|ca|r|ary|ist|>]
<re>  [<|re|>]
<pltruswail>  [<|pl|tr|us|wa|il|>]
<multi>  [<|multi|>]
<mige>  [<|mi|ge|>]
<es>  [<|es|>]
<ad>  [<|ad|>]
<rsiapreot>  [<|rs|ia|pre|ot|>]
<mpntro>  [<|mp|nt|ro|>]
<stru>  [<|stru|>]
<finterho>  [<|f|inter|ho|>]
<trig>  [<|tri|g|>]
<ted>  [<|ted|>]
<tudent>  [<|tude|nt|>]
<vpromistin>  [<|v|pro|mis|tin|>]
<malpass>  [<|mal|pass|>]
<versyscribers>  [<|vers|y|scrib|ers|>]
<meigistmacrome>  [<|me|ig|ist|macro|me|>]
<re>  [<|re|>]
<gressionary>  [<|gress|ion|ary|>]
<cide>  [<|cide|>]
<ntanaiv>  [<|n|ta|na|iv|>]
<o>  [<|o|>]
<hood>  [<|hood|>]

mit mat1 temp2 chs50:
<anti>  [<|anti|>]
